Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
academic,17,12,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,23.0,,,14.0,,18.0,,16.0,,,,17.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019332081454098984
otago academic dates,35,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,31.0,,34.0,36.0,,49.0,46.0,,37.0,,,,39.0,,35.0,,36.0,,35.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002097956799466906
university of auckland academic calendar,79,0,0.0,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,63.0,,85.0,,91.0,,,,,,80.0,,79.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002210879775376467
auckland university academic calendar,74,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,50.0,74.0,,55.0,,84.0,,,,74.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002110047929463005
academic history vuw,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,64.0,,76.0,,68.0,72.0,,66.0,,70.0,,77.0,,66.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001976720364895599
student allowance,1,1049,6400.0,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002283286649450981
allowance,2,38,460.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,2.0,,1.0,2.0,,1.0,1.0,,1.0,,6.0,2.0,,1.0,1.0,,1.0,,,1.0,1.0,,2.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022569073192374015
disability allowance form,5,8,240.0,,,,,,5.0,,5.0,,,3.0,,,3.0,,3.0,,3.0,3.0,,3.0,3.0,,3.0,,3.0,9.0,,3.0,6.0,,7.0,6.0,,6.0,,,,6.0,,5.0,,5.0,,5.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021766543019614707
how much is student allowance,1,3,20.0,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023146231485092236
disability allowance,42,3,750.0,,,,,,7.0,,5.0,,,9.0,,,6.0,,4.0,4.0,,4.0,4.0,,7.0,,6.0,4.0,,10.0,4.0,,3.0,4.0,,3.0,,4.0,6.0,,6.0,,4.0,,4.0,,42.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002121419631091772
allowances,7,0,20.0,,6.0,,,4.0,,6.0,,4.0,,4.0,,,5.0,,,5.0,,4.0,,4.0,6.0,,4.0,5.0,,4.0,5.0,,7.0,,8.0,7.0,,5.0,4.0,,4.0,,,4.0,4.0,,7.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019332081454098984
apply for student allowance,1,0,0.0,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002336775650876682
travel allowance nz,52,0,0.0,,,,,13.0,,34.0,,30.0,,15.0,,,,20.0,18.0,,28.0,,25.0,26.0,,30.0,29.0,,35.0,,35.0,39.0,,35.0,,39.0,48.0,,65.0,,68.0,,37.0,,60.0,,,52.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002138649390233155
non taxable allowances nz,37,0,0.0,,20.0,,,19.0,,17.0,,23.0,,13.0,,,22.0,,18.0,,15.0,21.0,,21.0,,25.0,24.0,,26.0,25.0,,30.0,24.0,,22.0,32.0,,28.0,,,,37.0,,27.0,,37.0,,37.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019962462897822938
disability allowance nz income threshold,1,0,0.0,,,,,,,,,,,,,,,,6.0,,10.0,9.0,,10.0,,10.0,8.0,,7.0,8.0,,6.0,,7.0,6.0,,7.0,9.0,,8.0,,8.0,,8.0,,7.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022721341221113313
student allowance rates,1,0,0.0,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022681026208802076
adhd disability allowance nz,6,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,8.0,,5.0,,6.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002077324446923396
independent circumstances allowance,1,0,0.0,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019858775684209145
jobseeker's allowance,11,0,0.0,,,,,15.0,,10.0,,14.0,,17.0,,,,,,,,,,9.0,4.0,,3.0,,6.0,6.0,,7.0,7.0,,5.0,7.0,,12.0,,,,10.0,,12.0,,13.0,,11.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020838558550435094
how much is student allowance nz,2,0,0.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,,2.0,,2.0,,2.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024014964359286633
student allowance application,1,0,0.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002256012457092186
how much is student allowance in nz,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,2.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002480956013763171
disability allowance nz,6,0,0.0,,,,,,,,9.0,,,11.0,,8.0,,5.0,,5.0,,6.0,7.0,,7.0,8.0,,7.0,,,6.0,,5.0,12.0,,7.0,7.0,,8.0,,5.0,,6.0,,6.0,,6.0,,6.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002215819108554815
working away from home allowance nz,23,0,0.0,,,14.0,,11.0,,17.0,,14.0,,,11.0,,,12.0,,11.0,13.0,,11.0,,,15.0,,,,,15.0,,,,,,22.0,27.0,,25.0,,21.0,,18.0,,23.0,,23.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002275816658751914
apply student allowance,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002309940847041342
winz forms disability allowance,12,0,0.0,,,,,,17.0,,10.0,,,12.0,,,14.0,,11.0,,12.0,12.0,,13.0,14.0,,11.0,,11.0,11.0,,11.0,12.0,,11.0,14.0,,13.0,,,,19.0,,12.0,,14.0,,12.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022166403784680583
disability allowance medical certificate,9,0,0.0,,,,,,,,15.0,,16.0,,,13.0,,,,13.0,,12.0,,,,,,,,,,,,,,,,,,,,,9.0,,9.0,,,,9.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021270979150290843
accommodation allowances,9,0,0.0,,,,,,,,,,,,,,,,6.0,,5.0,5.0,,6.0,,7.0,6.0,,6.0,5.0,,6.0,,4.0,6.0,,5.0,6.0,,6.0,,4.0,,9.0,,8.0,,9.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002000597843259563
independent circumstances allowance form,1,0,0.0,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002089861321985692
winz disability allowance medical certificate,25,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,29.0,,16.0,,15.0,,28.0,,25.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002227072084721934
work and income disability allowance,12,0,0.0,,,,,,,13.0,,10.0,,16.0,,,,14.0,13.0,,13.0,,16.0,17.0,,15.0,18.0,,17.0,,18.0,18.0,,19.0,16.0,,28.0,25.0,,26.0,,24.0,,14.0,,13.0,,12.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002311196285826284
tool allowance nz,37,0,0.0,,35.0,,,28.0,,24.0,,27.0,,26.0,,,,23.0,22.0,,29.0,,29.0,28.0,,36.0,37.0,,32.0,,36.0,36.0,,36.0,,35.0,41.0,,58.0,,34.0,,39.0,,38.0,,,,37.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020588727389659273
applying for student allowance,1,0,0.0,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002147869467146619
carer allowance nz,80,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,53.0,,45.0,70.0,,75.0,,69.0,,58.0,,70.0,,80.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020058816645194084
how much is the disability allowance in nz,8,0,0.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,6.0,,10.0,12.0,,9.0,,8.0,8.0,,8.0,,9.0,,9.0,,7.0,,8.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002516291574204717
new zealand student allowance,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002402487380601855
allowance news,4,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,4.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020921671853035375
student allowance form,1,0,0.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002239273431917672
student allowance income threshold,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002182054175584423
student allowance nz calculator,1,0,0.0,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024115111555666206
winz disability allowance form,12,0,0.0,,,,,16.0,,16.0,,11.0,,11.0,,,14.0,,11.0,,10.0,10.0,,12.0,15.0,,11.0,,11.0,11.0,,11.0,11.0,,11.0,15.0,,13.0,,,,16.0,,11.0,,12.0,,12.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002268581752689136
msd disability allowance,11,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002171880002721989
disability allowance winz,12,0,0.0,,,,,,,14.0,8.0,,,12.0,,,,,,,,,,15.0,22.0,,15.0,,14.0,19.0,,30.0,24.0,,17.0,16.0,,,,,,24.0,,17.0,,15.0,,12.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002207891605939737
student allowance calculator,1,0,0.0,,,,,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002319773646827133
student allowance new zealand,1,0,0.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002402487380601855
how much can you earn on student allowance,1,0,0.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024157061000897304
do you have to pay back student allowance,1,0,0.0,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023417372289343784
winz disability allowance,14,0,0.0,,,,,,,10.0,9.0,,,12.0,,,14.0,,15.0,15.0,,16.0,16.0,,24.0,,16.0,14.0,,36.0,44.0,,34.0,50.0,,25.0,,59.0,30.0,,39.0,,47.0,,17.0,,14.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002207891605939737
study allowance,1,0,0.0,,,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002203730716377556
disability allowances,6,0,0.0,,,,,,7.0,,5.0,,,8.0,,,6.0,,16.0,3.0,,5.0,5.0,,,,6.0,5.0,,6.0,,5.0,7.0,,10.0,8.0,,8.0,,,,5.0,,7.0,,6.0,,6.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.001963498233831367
non-taxable allowances nz,37,0,0.0,,,,,,,,,,,,,,,20.0,19.0,,20.0,22.0,,20.0,,27.0,24.0,,28.0,24.0,,24.0,26.0,,22.0,25.0,,29.0,,,,37.0,,28.0,,35.0,,37.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019962462897822938
allowance for disability,6,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,5.0,,6.0,,,,5.0,,6.0,,5.0,,6.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021553769740355784
disabled living allowance,8,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,,1.0,6.0,,,,9.0,,7.0,,6.0,,8.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002013583063216815
student allowance amount,1,0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002064375102203051
jobseeker allowance nz,7,0,0.0,,,,,,,,,,,,,,,6.0,,4.0,6.0,,5.0,,,5.0,,6.0,,,6.0,5.0,,6.0,8.0,,8.0,7.0,,,10.0,8.0,,8.0,,9.0,,7.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002177946123080142
student allowance nz,1,0,0.0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002376565313120258
winz living alone allowance,27,0,0.0,,,,,,,,,,9.0,,,,,14.0,,14.0,10.0,,11.0,,,13.0,,,16.0,,17.0,,18.0,,,19.0,37.0,,36.0,,37.0,,34.0,,35.0,,37.0,,27.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021190078728641226
what is student allowance,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023079684144131007
how to apply for student allowance,1,0,0.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0023907059025405995
student allowance forms,1,0,0.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002133961349608736
study allowance nz,1,0,0.0,,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022980679186667993
caregivers allowance nz,58,0,0.0,,,,27.0,,,,19.0,,21.0,,,31.0,,33.0,,20.0,29.0,,34.0,45.0,,51.0,,68.0,39.0,,37.0,,41.0,44.0,,44.0,,40.0,55.0,,58.0,,57.0,,51.0,,61.0,,58.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020366725924729004
disability allowance work and income,13,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,18.0,,18.0,,22.0,,25.0,,25.0,,12.0,,11.0,,13.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002311196285826284
caregiver allowance nz,48,0,0.0,,,30.0,,,,,,,30.0,,,39.0,,42.0,,24.0,33.0,,36.0,33.0,,31.0,,33.0,38.0,,31.0,,34.0,37.0,,36.0,,39.0,55.0,,65.0,,44.0,,53.0,,50.0,,48.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002076269387813738
student allowance eligibility,1,113,690.0,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002143888605464991
eligibility for student allowance,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021774896787064026
student allowance eligibility test,1,0,0.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002160074356775454
training incentive allowance form,7,0,0.0,,,,,,,,,,,,,,,,,7.0,6.0,,6.0,,,6.0,6.0,,6.0,,6.0,5.0,,5.0,6.0,,8.0,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002094103218655654
training incentive allowance winz,6,0,0.0,,,,,,,,,,7.0,,,,,4.0,4.0,,4.0,,3.0,3.0,,7.0,3.0,,3.0,,3.0,3.0,,3.0,,,5.0,7.0,,6.0,,6.0,,,,,,,6.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020969617768148486
winz training incentive allowance,6,0,0.0,,,,,,,,7.0,,7.0,,,,,4.0,4.0,,3.0,,3.0,3.0,,7.0,3.0,,3.0,,3.0,3.0,,6.0,,,6.0,6.0,,6.0,,6.0,,8.0,,,,,6.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020969617768148486
job seekers allowance,9,2,140.0,,,,,,12.0,,7.0,,,6.0,,,9.0,,3.0,,4.0,8.0,,7.0,6.0,,5.0,5.0,,9.0,,2.0,2.0,,3.0,2.0,,2.0,2.0,,3.0,,7.0,,10.0,,9.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002161142958561365
apply for job seekers allowance,14,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,,,,,,,,,,,14.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022264589152278355
benefit job seekers allowance,16,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,8.0,8.0,,8.0,,20.0,,17.0,,19.0,,22.0,,16.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002245282234726887
apply job seekers allowance,12,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002194033576201619
job seekers allowance apply,9,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,11.0,,10.0,,9.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002194033576201619
student allowance parent income,1,0,0.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002245137455758052
student allowance parents income,1,0,0.0,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002182054175584423
student allowance parent form,1,0,0.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002219736396078253
studylink student allowance,1,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022080622823656576
studylink student allowance calculator,1,0,0.0,,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022887001290883106
student allowance studylink,1,0,0.0,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022080622823656576
apple education,47,10,2800.0,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,67.0,,84.0,,50.0,,54.0,,55.0,,48.0,,47.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002085520206818281
apple student,66,3,1100.0,,,,,,,,,,,71.0,,,,,,,,,,,59.0,,71.0,,,73.0,,,,73.0,,60.0,,60.0,76.0,,84.0,,71.0,,80.0,,66.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021397908213886506
education apple,35,1,200.0,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,45.0,52.0,,53.0,,,,,,35.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002085520206818281
apple nz support,45,0,0.0,,,,,,,,,,,,,,,,,,,,,95.0,,,54.0,,62.0,67.0,,75.0,94.0,,76.0,,,56.0,,,,,,91.0,,,,45.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021521969259444625
apple nz contact number,89,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002294369683374741
apple cash nz,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,79.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002108176418614461
nz apple products,92,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020362208603683135
apple nz help,75,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,75.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022381068055453792
contact apple support nz,44,0,0.0,,,,,71.0,,55.0,,60.0,,,,33.0,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002222657422516486
apple pay in nz,99,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,99.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002296162733372894
new zealand apple products,56,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,40.0,,94.0,,56.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021576336943209197
apple for education nz,55,0,0.0,,,,,53.0,77.0,,66.0,,,67.0,,37.0,,,,,,,46.0,,,62.0,,61.0,49.0,,52.0,,59.0,47.0,,54.0,43.0,,74.0,,80.0,,62.0,,65.0,,55.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022125134214903107
apple support number nz,48,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,53.0,,59.0,60.0,,61.0,64.0,,,,,54.0,,,,58.0,,50.0,,,,48.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022370356202367544
apple repairs wellington,92,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021029825869723065
apple repairs chch,78,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,90.0,,90.0,92.0,,90.0,,89.0,80.0,,99.0,,,,,,,,,,,78.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002062205602644033
apple nz support number,83,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,83.0,95.0,,68.0,80.0,,57.0,,,,,,,,,,83.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022370356202367544
