Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
uni student,36,0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,7.0,,,,,,3.0,,16.0,,,,36.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002300072539236328
student net,47,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,47.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0019872627058133553
massey university student portal,31,0,60.0,,,,,,58.0,,85.0,,,53.0,,,37.0,,28.0,,26.0,30.0,,16.0,,22.0,24.0,,22.0,29.0,,33.0,,35.0,31.0,,29.0,44.0,,,,41.0,,50.0,,44.0,,31.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022574863920344513
summer jobs for students,42,0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0022399000265544283
new zealand student visa,59,0,100.0,,,,,63.0,,61.0,,82.0,,58.0,,,56.0,,49.0,,28.0,54.0,,,,,,48.0,,53.0,52.0,,60.0,55.0,,56.0,54.0,,51.0,,,,,,60.0,,59.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0024743429699300708
student support,66,0,100.0,,,,,21.0,,26.0,,33.0,,,31.0,,,55.0,,57.0,55.0,,45.0,43.0,,60.0,49.0,,61.0,,55.0,52.0,,40.0,,42.0,43.0,,33.0,,48.0,,38.0,,43.0,,,66.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0021634963735428104
student jobs search,94,0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,94.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002218275110527675
student village,61,0,40.0,,,,,,,,,,,,,,,75.0,,52.0,71.0,,76.0,62.0,,66.0,,67.0,67.0,,67.0,40.0,,41.0,,36.0,75.0,,68.0,,58.0,,53.0,,58.0,,,,61.0,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0018981629453531117
international students in new zealand,64,0,40.0,,,,,,,,,,,,,,,,,,,,,50.0,43.0,,47.0,,58.0,,,,,,,,,,,,,,,,,,64.0,,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.002310566398460303
student card discount,66,0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,90.0,,,,,61.0,,77.0,,84.0,,,,,66.0,,"We help students make informed choices about their student finance, how to apply for it and manage it online.",0.0020861290398710404
