Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
jobs manawatu,44,0,0.0,,,,,27.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,45.0,,,,74.0,,50.0,,52.0,,44.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017564338659341486
jobs for registered nurses,20,0,0.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,33.0,,30.0,,30.0,,,,,,,,,,21.0,,20.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018009724301706526
work from home jobs nz,78,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,81.0,,78.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019303245320175392
jobs on the west coast nz,68,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,62.0,,58.0,88.0,,83.0,,94.0,,78.0,,69.0,,68.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017955302645906543
job vacancies blenheim,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017564910642999965
jobs for public health,91,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019276176834596482
jobs chch no experience,64,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017726195775106765
job christchurch,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,91.0,,,,79.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019544122367778673
jobs new plymouth,64,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,80.0,,,,,,,,,,,,,,,79.0,,64.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018781612381739963
job search wanganui,82,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,60.0,62.0,,83.0,,100.0,,,,86.0,,82.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001743634558190433
health and safety jobs nz,43,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,63.0,,64.0,35.0,,45.0,,95.0,86.0,,84.0,,77.0,,56.0,,56.0,,43.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001891701757975365
mount wellington jobs,22,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,52.0,,,,,,,,,80.0,,22.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018421676283487632
new zealand jobs teacher,92,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017598374544240468
student jobs dunedin,98,0,0.0,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017886700645447045
community support workers jobs,65,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,65.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017188130100672825
driving jobs nz,52,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,52.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018582426098449057
marlborough jobs nz,50,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,72.0,,74.0,,48.0,,76.0,,50.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018386652876735193
highest paying jobs in nz,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,66.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001682525551548423
education new zealand jobs,47,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,85.0,,,,,,,,48.0,,,,47.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001860690353017027
rotorua hospital jobs,71,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,,75.0,,,,71.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018117957330810333
new zealand visa sponsor jobs,63,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016688427619921391
jobs in tasman,35,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018064354562495595
jobs in wanganui no experience,39,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,39.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001800686609359126
jobs doc nz,36,0,0.0,,,,,,,,,,,,,,,,,57.0,,42.0,39.0,,45.0,32.0,,48.0,,39.0,45.0,,75.0,17.0,,32.0,,70.0,60.0,,52.0,,,,41.0,,36.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019104399109799812
taranaki jobs,41,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,79.0,,,,,,75.0,,55.0,,41.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018082325687120051
new zealand jobs law,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,87.0,,,,97.0,,,,96.0,,,87.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017681089732184754
driver jobs in wellington,43,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,44.0,,,,,,,,,,,,,43.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018591631089674965
home working jobs part time,44,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.00181960831138424
jobs education nz,59,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,66.0,,,,,87.0,,,,88.0,,53.0,,,59.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001925626225426376
nz job offer letter,93,0,0.0,,,,,,,,,,,,,,,,,,,,,67.0,,59.0,,62.0,83.0,,64.0,55.0,,82.0,69.0,,67.0,,82.0,,61.0,,68.0,,99.0,,93.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016792840317500668
driver jobs wellington,46,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,33.0,,,38.0,,,,,,,,,,,46.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018084703938050484
jobs in hastings hawkes bay,58,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018442368249742055
healthcare nz jobs,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,91.0,,,,,,,,,,,87.0,,66.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018692914607454578
jobs otahuhu,77,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,77.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001853109880665396
part time jobs in napier,53,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019059396664208676
work from home jobs for seniors nz,97,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,97.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018146981104781856
it jobs nz,95,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,87.0,,95.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018521720933647474
full-time jobs new plymouth,42,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,42.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018082242391235014
data entry jobs wellington,95,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,95.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017556539053473561
casual jobs tauranga,43,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,66.0,,,,,66.0,,72.0,,72.0,,43.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001784768260507079
waikato part time jobs,22,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018730819490159936
part time jobs wanganui,53,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,53.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001835978146476098
support worker jobs in christchurch,74,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,74.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018688147574800495
conservation jobs new zealand,83,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017283264616574363
new zealand accounting jobs,71,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,71.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017283264616574363
trade me jobs northland nz,42,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018365079959398176
summer jobs dunedin,81,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017140039565035972
papakura jobs,72,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,81.0,,,,,,72.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018023397571434645
jobs in new zealand for nurses,29,0,0.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,65.0,,79.0,,,,,,,,,,,,,,,,20.0,,29.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018964367583591804
te pae jobs,51,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,51.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017417285645128188
administration jobs christchurch,77,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,84.0,,,,,,78.0,,84.0,,,,77.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017824258345994365
akl jobs,84,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016304972715956091
social work jobs wellington,59,0,0.0,,,,,33.0,,,,,,58.0,,,,82.0,,,,,,,,62.0,,,,,83.0,59.0,,,,,,36.0,,,,40.0,,40.0,,47.0,,59.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018628906181757392
new zealand jobs vacancies,88,0,0.0,,,,,,,,,,,,,,,,,,,,,69.0,,,74.0,,,,,,,,,,,,,,,,,,,,88.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019582875768225628
teaching nz jobs,72,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001896134469066196
new zealand green list jobs 2024,62,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001716496361291595
registered nurse job,18,0,0.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,20.0,,25.0,18.0,,,,,,18.0,,18.0,,18.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017949954088954277
hawkes bay hospital jobs,40,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001821651195595678
rn jobs in tauranga,74,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018424632483916175
nurse in new zealand jobs,36,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,45.0,,48.0,66.0,,57.0,,56.0,,34.0,,52.0,,36.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019608177836221903
teaching jobs christchurch,68,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,57.0,,,68.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001859830095700209
student part time jobs wellington,56,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018716559802280047
nursing jobs in new zealand,22,0,0.0,,26.0,,,40.0,,32.0,,58.0,,19.0,,,17.0,,24.0,,23.0,24.0,,,,,,,,91.0,,81.0,74.0,,59.0,58.0,,,,,,,,,,,22.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019544639825902657
jobs in tasman nz,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,61.0,,,73.0,,61.0,,78.0,,62.0,,,,87.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001861985110252815
dental assistant jobs chch,56,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,46.0,56.0,,,,71.0,,33.0,,,,,56.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017033938973553605
job recruitments,55,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016198763837323423
caregiver jobs in tauranga,51,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,51.0,,51.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018584628499719066
nursing job opportunities in new zealand,57,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,57.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018384282892469005
jobs queenstown nz,53,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017638127437902352
waikato jobs part time,25,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,25.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018730819490159936
job vacancies in new zealand,60,0,0.0,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,74.0,81.0,,,,,,,95.0,,,,,60.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019367102033974698
gcsb jobs,95,0,0.0,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016304972715956091
learning and development jobs,32,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016762511060074013
manawatu jobs,38,0,0.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,43.0,,,54.0,74.0,,,,,,54.0,,38.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017564338659341486
new zealand jobs hiring,84,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017947089660266982
jobs in taranaki,62,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,63.0,,67.0,,,82.0,,,,,,72.0,,71.0,,62.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018524776063138467
nurse jobs new zealand,31,0,0.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,20.0,,31.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019288505044151773
part time jobs dunedin,42,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,55.0,37.0,,,,,,,,,,,,,42.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018902625961786824
jobs in hamilton trade me,46,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018592400500931903
online job nz,99,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018782590407383942
govt jobs wellington,79,0,0.0,,,,,,,,,,,,,,,,,,,,,,42.0,,43.0,,63.0,58.0,,,81.0,,61.0,,,70.0,,,,89.0,,77.0,,64.0,,79.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.00190451268224286
new zealand couriers jobs,54,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001714346045445218
administration jobs in wellington,63,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,73.0,,68.0,,48.0,,,,63.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018277887131036917
part time jobs in napier nz,54,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0019578160328206774
new zealand nursing job vacancies,35,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,35.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.00187175067262519
carer jobs,67,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016629672589569939
nurse jobs nz,13,0,0.0,,,,,31.0,,28.0,,40.0,,12.0,,,,,,,,,,,,,,,,50.0,,50.0,46.0,,47.0,33.0,,25.0,30.0,,25.0,,20.0,,22.0,,,13.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.002002573181085815
job vacancies rotorua,91,0,0.0,,,,,,,,,,,,,,,,,,,,71.0,,82.0,,,,91.0,,,,95.0,74.0,,,,,,,,,,,69.0,,91.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001821711064221317
job opportunities for nurses in new zealand,52,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,40.0,,52.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018502464749303434
administrator jobs christchurch,47,0,0.0,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,77.0,,,,,,47.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001711942926860987
nursing and job,23,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018953795784262253
jobs in nz for foreigners,94,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,68.0,96.0,,,,,,,,,,,,94.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018764035816358428
jobs in tauranga hospital,59,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001917803371089247
jobs in rotorua bay of plenty,32,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,73.0,,32.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018325484884993894
canterbury nz jobs,54,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018456685688414216
part time jobs christchurch nz,52,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,44.0,,,,53.0,,52.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001994396472191757
jobs for community support worker,97,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,97.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018259827542112393
wairarapa dhb jobs,55,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,55.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016818148732763347
jobs rotorua,98,0,0.0,,,,,,,,,,,,,,,,,,,,,41.0,39.0,,61.0,,80.0,,,91.0,68.0,,88.0,85.0,,,,,,,,,,,98.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0018600313412468084
