Keyword,EndRank,EndClicks,SearchVolume,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021,01/2022,02/2022,03/2022,04/2022,05/2022,06/2022,07/2022,08/2022,09/2022,10/2022,11/2022,12/2022,01/2023,02/2023,03/2023,04/2023,05/2023,06/2023,07/2023,08/2023,09/2023,10/2023,11/2023,12/2023,01/2024,02/2024,03/2024,04/2024,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,description,TF-IDF_score
coroners act 2006,5,0,0.0,,16.0,,,12.0,,7.0,,5.0,,,2.0,,,3.0,,2.0,5.0,,6.0,7.0,,8.0,,12.0,9.0,,6.0,6.0,,9.0,,4.0,8.0,,7.0,,8.0,,6.0,,9.0,,,,5.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015874862148641988
oia act,14,0,0.0,,,,,8.0,,9.0,,10.0,,16.0,,,34.0,,28.0,,30.0,,31.0,25.0,,5.0,21.0,,12.0,,23.0,11.0,,11.0,12.0,,23.0,23.0,,19.0,,16.0,,16.0,,9.0,,14.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016749468343933147
ppsa act,66,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,86.0,,,,97.0,,80.0,,66.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016157996280957824
sentencing act 2002,4,0,0.0,,,,,1.0,4.0,,3.0,,,9.0,,,8.0,2.0,,9.0,,2.0,2.0,,7.0,2.0,,6.0,,2.0,2.0,,10.0,9.0,,8.0,,28.0,5.0,,4.0,,3.0,,6.0,,4.0,,4.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016097143124487476
idccr act,30,0,0.0,,,,,,,,,,,,,,,,,,,,,,35.0,,46.0,,,,49.0,49.0,,56.0,,56.0,,65.0,72.0,,66.0,,59.0,,62.0,,31.0,,30.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015917371224938995
parole act,2,0,0.0,,,,,3.0,,3.0,3.0,,,3.0,,,2.0,,2.0,2.0,,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,3.0,,3.0,,3.0,3.0,,,,3.0,,1.0,,2.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016942388651877646
parole act 2002,3,0,0.0,,3.0,,,3.0,,3.0,,1.0,,1.0,,,2.0,,2.0,,2.0,,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,,3.0,3.0,,3.0,1.0,,3.0,,1.0,,3.0,,3.0,,3.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016153947350722273
acts of legislation,64,0,0.0,,20.0,,,25.0,,22.0,,30.0,,37.0,,,,33.0,,20.0,23.0,,26.0,34.0,,28.0,,32.0,30.0,,39.0,36.0,,31.0,32.0,,37.0,61.0,,56.0,,54.0,,63.0,,63.0,,64.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0015615465978256087
pae ora act,87,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,28.0,,18.0,,,,27.0,,23.0,,91.0,,87.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016493144502398378
corrections act 2004,2,0,0.0,,,,,3.0,,3.0,,3.0,,2.0,,,,2.0,,2.0,2.0,,2.0,2.0,,2.0,,2.0,2.0,,2.0,1.0,,3.0,3.0,,3.0,3.0,,3.0,,2.0,,2.0,,2.0,,2.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016126720428359007
family violence act 2018,94,0,0.0,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,68.0,,,,96.0,,94.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001656664522851669
human rights act 1993,47,2,660.0,,,,,70.0,62.0,,53.0,,,40.0,,,,49.0,,,,58.0,65.0,,,,,77.0,,76.0,63.0,,,46.0,,,,,,,,,,,,,47.0,,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016794690821187405
new zealand human rights act 1993,42,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,71.0,,,,84.0,,67.0,,56.0,,42.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017022532397195122
human rights act 1993 new zealand,43,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,55.0,,85.0,97.0,,89.0,,77.0,,80.0,,63.0,,43.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017022532397195122
harassment act nz,65,0,0.0,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,65.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0016495958794030465
human rights act nz,17,0,0.0,,,,,17.0,,16.0,19.0,,,17.0,,,26.0,19.0,,19.0,,16.0,15.0,,16.0,17.0,,21.0,,23.0,21.0,,32.0,22.0,,42.0,,58.0,46.0,,,,,,,,30.0,,17.0,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017594957304168646
nz human rights act,23,0,0.0,,,14.0,,,,,,,,,,,,,,,,,,15.0,18.0,,17.0,,20.0,20.0,,23.0,40.0,,26.0,45.0,,43.0,,,,,,,,,,23.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017594957304168646
official information act nz,18,0,0.0,,,,,,23.0,,,19.0,,11.0,,,15.0,,16.0,,9.0,,7.0,15.0,,19.0,17.0,,13.0,,15.0,18.0,,13.0,20.0,,29.0,35.0,,28.0,,22.0,,15.0,,15.0,,18.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.0017278230886956004
new zealand bill of rights act,83,0,280.0,,36.0,,,42.0,,42.0,,48.0,,50.0,,,60.0,,53.0,,45.0,43.0,,47.0,39.0,,49.0,47.0,,51.0,,45.0,62.0,,65.0,69.0,,65.0,,,,78.0,,76.0,,84.0,,83.0,,"The New Zealand Department of Corrections works to make New Zealand a better, safer place by protecting the public from those who can cause harm; and reducing re-offending.",0.001712779920824413
