title,h1_tags,word_count,keywords,description,DC.Description,snapshot_url,Timestamp
Welcome to Work and Income - Work and Income,[],480,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20151104174416/http://www.workandincome.govt.nz/,4/11/2015 17:44
Welcome to Work and Income - Work and Income,[],478,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20151107001800/http://www.workandincome.govt.nz/,7/11/2015 0:18
Welcome to Work and Income - Work and Income,[],478,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20151107075903/http://www.workandincome.govt.nz:80/,7/11/2015 7:59
Welcome to Work and Income - Work and Income,[],471,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20151126095516/http://www.workandincome.govt.nz:80/,26/11/2015 9:55
Welcome to Work and Income - Work and Income,[],475,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20151205212823/http://www.workandincome.govt.nz:80/,5/12/2015 21:28
Welcome to Work and Income - Work and Income,[],461,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20151226205352/http://www.workandincome.govt.nz:80/,26/12/2015 20:53
Welcome to Work and Income - Work and Income,[],461,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160110020417/http://workandincome.govt.nz/,10/01/2016 2:04
Welcome to Work and Income - Work and Income,[],461,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160111112645/http://www.workandincome.govt.nz/,11/01/2016 11:26
Welcome to Work and Income - Work and Income,[],467,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160121170057/http://workandincome.govt.nz/,21/01/2016 17:00
Welcome to Work and Income - Work and Income,[],467,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160121225720/http://www.workandincome.govt.nz/,21/01/2016 22:57
Welcome to Work and Income - Work and Income,[],475,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160131182649/http://www.workandincome.govt.nz:80/,31/01/2016 18:26
Welcome to Work and Income - Work and Income,[],461,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160219033453/http://www.workandincome.govt.nz/,19/02/2016 3:34
Welcome to Work and Income - Work and Income,[],513,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160223232510/http://www.workandincome.govt.nz/,23/02/2016 23:25
Welcome to Work and Income - Work and Income,[],457,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160302103946/http://www.workandincome.govt.nz/,2/03/2016 10:39
Welcome to Work and Income - Work and Income,[],527,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160302212255/http://www.workandincome.govt.nz:80/,2/03/2016 21:22
Welcome to Work and Income - Work and Income,[],530,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160303201227/http://www.workandincome.govt.nz/,3/03/2016 20:12
Welcome to Work and Income - Work and Income,[],537,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160304193138/http://www.workandincome.govt.nz/,4/03/2016 19:31
Welcome to Work and Income - Work and Income,[],537,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160306174913/http://workandincome.govt.nz/,6/03/2016 17:49
Welcome to Work and Income - Work and Income,[],513,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160308192259/http://www.workandincome.govt.nz:80/,8/03/2016 19:22
Welcome to Work and Income - Work and Income,[],463,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160314115326/http://www.workandincome.govt.nz:80/,14/03/2016 11:53
Welcome to Work and Income - Work and Income,[],461,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160317050718/http://www.workandincome.govt.nz/,17/03/2016 5:07
Welcome to Work and Income - Work and Income,[],463,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160329150837/http://www.workandincome.govt.nz:80/,29/03/2016 15:08
Welcome to Work and Income - Work and Income,[],463,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160403180126/http://www.workandincome.govt.nz:80/,3/04/2016 18:01
Welcome to Work and Income - Work and Income,[],467,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160408185345/http://www.workandincome.govt.nz:80/,8/04/2016 18:53
Welcome to Work and Income - Work and Income,[],473,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160413175748/http://www.workandincome.govt.nz:80/,13/04/2016 17:57
Work and Income - Work and Income,['Home'],503,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160427233207/http://www.workandincome.govt.nz/,27/04/2016 23:32
Work and Income - Work and Income,['Home'],505,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160429060220/http://www.workandincome.govt.nz/,29/04/2016 6:02
Work and Income - Work and Income,['Home'],482,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160501231611/http://www.workandincome.govt.nz/,1/05/2016 23:16
Work and Income - Work and Income,['Home'],481,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160504233418/http://www.workandincome.govt.nz:80/,4/05/2016 23:34
Work and Income - Work and Income,['Home'],487,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160510054925/http://www.workandincome.govt.nz:80/,10/05/2016 5:49
Work and Income - Work and Income,['Home'],485,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160511013515/http://www.workandincome.govt.nz/,11/05/2016 1:35
Work and Income - Work and Income,['Home'],485,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160515014911/http://www.workandincome.govt.nz:80/,15/05/2016 1:49
Work and Income - Work and Income,['Home'],485,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160516020727/http://www.workandincome.govt.nz/,16/05/2016 2:07
Work and Income - Work and Income,['Home'],485,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160520155412/http://www.workandincome.govt.nz:80/,20/05/2016 15:54
Work and Income - Work and Income,['Home'],490,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160525023823/http://www.workandincome.govt.nz:80/,25/05/2016 2:38
Work and Income - Work and Income,['Home'],494,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160529162133/http://www.workandincome.govt.nz:80/,29/05/2016 16:21
Work and Income - Work and Income,['Home'],512,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160605052010/http://www.workandincome.govt.nz:80/,5/06/2016 5:20
Work and Income - Work and Income,['Home'],512,"Work, income",Work and Income provides employment services and financial assistance throughout New Zealand.,Work and Income provides employment services and financial assistance throughout New Zealand.,https://web.archive.org/web/20160608081649/http://www.workandincome.govt.nz:80/,8/06/2016 8:16
